Título;Autor;Año;Director(es);Jurados;Distinción;Institución;Programa/Nivel
"Aplicación de técnicas de Deep Learning en el modelamiento y observación de la fotósfera solar";Germain Nicolás Morales;2024;Santiago Vargas, Sergyi Shelyag;;;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Dynamics of the Cold Solar Chromosphere Observed with ALMA";Francisco Javier Ordoñez;2023;Benjamín Calvo Mozo, Juan Camilo Guevara;;;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Caracterización y análisis dinámico de estructuras magnéticas móviles a pequeña escala (MMF) alrededor de un poro solar";Anyul Figueroa;2022;Santiago Vargas Domínguez;;;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"On the Generation of Subphotospheric Acoustic Sources";Angel Martínez;2021;Benjamín Calvo Mozo, Juan Carlos Martínez;Santiago Vargas Domínguez;;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Prediction of the Occurrence of Flares in the Solar Cycle 24 from the Evolution of Magnetic Polarity Barycenters in Active Regions";Natalia Granados Hernández;2021;Santiago Vargas Domínguez, Domenico Bonaccinni Calia;Benjamín Calvo Mozo, Dominik Utz;;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Estudio observacional de la dinámica de puntos brillantes en una zona del Sol en calma";Yeimy Gerardine Berrios;2021;Santiago Vargas Domínguez, Dominik Utz;Benjamín Calvo Mozo, Christoph Kuckein;Meritoria;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"The impulsivity of Solar Flares: Concepts and Applications";Wilmar Gemán Fajardo Mendieta;2018;Benjamín Calvo Mozo;Juan Domingo Baena, Leonardo Castañeda Colorado;Meritoria;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Characterization of CME-driven shock in the interplanetary medium using type II radio bursts";Saida Milena Díaz Castillo;2018;Benjamín Calvo Mozo;Fredy Alexander Ochoa, Santiago Vargas Domínguez;Meritoria;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Design and development of a solar radio interferometer of two elements";Juan Camilo Guevara Gómez;2018;Benjamín Calvo Mozo;Stanley Eugene Kurtz, Santiago Vargas Domínguez;Meritoria;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Evolution and Dynamic Properties of Photospheric Plasma in Solar Active Regions";José Iván Campos Rozo;2017;Santiago Vargas Domínguez;Illa Rivero Losada, Fátima Rubio Da Costa;;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"A study of photospheric vector magnetic field changes during solar flares";Juan Sebastián Castellanos Durán;2016;Benjamín Calvo Mozo;Mark Cheung, Andrés Asencio Ramos;;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Un modelo computacional para estudiar modos P en regiones activas del Sol";Carlos Andrés Galarza Arevalo;2016;Benjamín Calvo Mozo;Giovanni Alejandro Pinzón Estrada, Santiago Vargas Dominguez;;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Estudio de la dinámica de partículas cargadas en una lámina de corriente de reconexión de una fulguración solar";Andrés Mauricio Huertas Hurtado;2014;Benjamín Calvo Mozo;Mario Armando Higuera Garzón, Giovanni Alejandro Pinzón Estrada;;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Sobre la aceleración estocástica de electrones y la sismicidad asociada a fulguraciones solares";Juan Camilo Buitrago Casas;2013;Benjamín Calvo Mozo;Giovanni Alejandro Pinzón Estrada, Santiago Vargas Domínguez;Laureada;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Modelamiento de variaciones magnéticas en la superficie solar y su asociación a fuentes sísmicas generadas por flares";Julián David Alvarado Gómez;2012;Benjamín Calvo Mozo;Leonardo Castañeda Colorado, Ricardo Amezquita Orozco;Meritoria;Universidad Nacional de Colombia;Maestría en Ciencias - Astronomía
"Estudio de las propiedades anisotrópicas del plasma en el viento solar usando simulaciones cinéticas en 3D de turbulencia";Andres Felipe Guerrero;2023;Santiago Vargas, Jefferson Agudelo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Estudio de la respuesta multitérmica en algunos filtros del instrumento SDO/AIA";Juan Pablo Herrera;2022;Benjamín Calvo Mozo, Juan Carlos Martínez;;;Universidad Nacional de Colombia;Trabajo de Grado
"Solar activity influence on perturbations over the geomagnetic field based on data of the Geomagnetic Observatory of Fuquene, Colombia";Santiago Pinzón Cortés;2022;Santiago Vargas Domínguez, Natalia Gómez;;;Universidad Nacional de Colombia;Trabajo de Grado
"Sobre el entorno magnético de fulguraciones solares de gran magnitud y algunas aplicaciones prácticas";Paula González;2022;Santiago Vargas Domínguez, Juan Camilo Buitrago;;;Universidad Nacional de Colombia;Trabajo de Grado
"Estudio de la respuesta multitérmica en algunos filtros del SDO/AIA";Juan Pablo Herrera;2021;Benjamín Calvo Mozo, Juan Carlos Martínez;;;Universidad Nacional de Colombia;Trabajo de Grado
"Estudio de las velocidades Doppler y su relación con las oscilaciones del campo magnético en la penumbra de las manchas";Francisco Javier Ordoñez;2021;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Implementación de un medidor de centelleo atmosférico diurno como parte del estudio de prospección astronómica para el emplazamiento de un observatorio solar";Javier Sánchez González;2021;Santiago Vargas Domínguez;;;Universidad Nacional de Colombia;Trabajo de Grado
"Dinámica del plasma fotosférico durante el decaimiento de regiones solares activas";Valeria Quintero;2021;Santiago Vargas Domínguez, Jose Ivan Campos Rozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Jefferson Stiven Arias;2021;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Julio Florez Macias;2021;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Análisis de centroides de polaridad magnética en regiones solares activas";Natalia Granados Hernández;2019;Santiago Vargas Domínguez;;;Universidad Nacional de Colombia;Trabajo de Grado
"Estudio de la turbulencia atmosférica";Johan Samir Méndez;2019;Santiago Vargas Domínguez;;;Universidad Nacional de Colombia;Trabajo de Grado
"Detección automática de puentes de luz en manchas solares empleando técnicas de aprendizaje de máquina";Bryan Alfonso Soler;2019;Santiago Vargas Domínguez, Juan Rafael Martínez Galarza;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Angel Daniel Martínez;2019;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Solar Faculae Data Base";Juan Pablo Vargas;2018;Santiago Vargas Domínguez, Andrés Muñoz Jaramillo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Willinton Jomar Caidedo;2018;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Francisco Andrés Triana;2018;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Johan Camilo Méndez;2017;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Dinámica de puntos brillantes en la fotósfera solar";José Iván Campos Rozo;2014;Benjamín Calvo Mozo, Dominik Utz;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Juan Sebastián Castellanos;2014;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Sandra Milena Díaz;2014;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Wilman Germán Fajardo;2014;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Juan Camilo Guevara;2014;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Eliana Amazo Gómez;2013;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Título no especificado";Pedro Antonio Santos Flórez;2013;Benjamín Calvo Mozo;;;Universidad Nacional de Colombia;Trabajo de Grado
"Bayesian constraints on observable properties of exoplanetary systems using planet population synthesis simulations";Frank Bautista;2021;Santiago Vargas Domínguez, Germán Chaparro;Rigoberto Casas, Pablo Cuartas;Meritoria;Universidad Nacional de Colombia;Maestría en Física
"Análisis de la conexión entre la astronomía y el plan de estudios en educación básica y media en el marco de la Oficina de Astronomía para la Educación en Colombia (OAE)";Doris Paola Sanabria García;2023;Santiago Vargas Domínguez, Angela Pérez;;;Universidad Nacional de Colombia;Maestría en Enseñanza de las Ciencias
"Enseñanza de la Astronomía para promover la paz y la reconciliación en comunidades vulnerables";Erika Hernández Vásquez;2022;Santiago Vargas Domínguez, Itzel Hernández Armenta;;;Universidad Nacional de Colombia;Maestría en Enseñanza de las Ciencias
"Maletín de herramientas didácticas para la enseñanza del electromagnetismo en grado 11";John Fredy Puentes Torres;2021;Santiago Vargas Domínguez;;;Universidad Nacional de Colombia;Maestría en Enseñanza de las Ciencias
