Año,Título,Fuente/Revista,Autores,Enlace
2024,​,"Machine Learning Synthesis and inversion method for Stokes Parameters in the solar context Machine Learning Synthesis and inversion method for Stokes Parameters in the solar context Machine Learning Synthesis and inversion method for Stokes Parameters in the solar context Machine Learning Synthesis and inversion method for Stokes Parameters in the solar context EGU General Assembly 2024, Vienna, Austria, 14–19 Apr 2024, EGU24-1604","JUAN ESTEBAN AGUDELO ORTIZ, GERMAIN NICOLÁS MORALES SUAREZ, SANTIAGO VARGAS DOMÍNGUEZ, SERGIY SHELYAG.",https://doi.org/10.5194/egusphere-egu24-1604
2024,​,"Ring Current Local Time Dependence during geomagnetic storms using equatorial Dst-proxies Ring Current Local Time Dependence during geomagnetic storms using equatorial Dst-proxies Ring Current Local Time Dependence during geomagnetic storms using equatorial Dst-proxies Ring Current Local Time Dependence during geomagnetic storms using equatorial Dst-proxies Under Review & In Review. Springer: Earth, Planets and Space.","SANTIAGO PINZON-CORTES, NATALIA GÓMEZ-PÉREZ, SANTIAGO VARGAS DOMÍNGUEZ.",https://doi.org/10.21203/rs.3.rs-3900907/v1
2024,​,"Solar Radio-Interferometric Network of the Observatorio Astronómico Nacional (RRIS-OAN): Inter-calibration and Instrumental Integration Solar Radio-Interferometric Network of the Observatorio Astronómico Nacional (RRIS-OAN): Inter-calibration and Instrumental Integration Solar Radio-Interferometric Network of the Observatorio Astronómico Nacional (RRIS-OAN): Inter-calibration and Instrumental Integration Solar Radio-Interferometric Network of the Observatorio Astronómico Nacional (RRIS-OAN): Inter-calibration and Instrumental Integration Revista eSPECTRA, Vol 2, Issue 1, pp 22-28. (2024/2/1). Revista eSPECTRA, Vol 2, Issue 1, pp 22-28. (2024/2/1).","JAVIER SANCHEZ GONZALEZ, JUAN CARLOS MARTÍNEZ OLIVEROS, SANTIAGO VARGAS DOMÍNGUEZ.",https://drive.google.com/file/d/1BFujtveicdkeOceuFpz3j5xGpeGwdN-A/view
2024,​,"La historia del Observatorio y el Observatorio en la historia La historia del Observatorio y el Observatorio en la historia La historia del Observatorio y el Observatorio en la historia La historia del Observatorio y el Observatorio en la historia Revista eSPECTRA, Vol 2, Issue 1, pp 79-85. (2024/2/1). Revista eSPECTRA, Vol 2, Issue 1, pp 79-85. (2024/2/1).",SANTIAGO VARGAS DOMÍNGUEZ.,https://astronomiaoan.github.io/espectra/vol2num1-ciclo220-2.html
2024,​,"Exploring intermittency in numerical simulations of turbulence from single and multi-spacecraft analysis Exploring intermittency in numerical simulations of turbulence from single and multi-spacecraft analysis Exploring intermittency in numerical simulations of turbulence from single and multi-spacecraft analysis Exploring intermittency in numerical simulations of turbulence from single and multi-spacecraft analysis Front. Astron. Space Sci., 25 January 2024, Sec. Stellar and Solar Physics, Volume 11 - 2024. Front. Astron. Space Sci., 25 January 2024, Sec. Stellar and Solar Physics, Volume 11 - 2024.","ANDRES FELIPE GUERRERO GUIO, JEFFERSSON ANDRES AGUDELO RUEDA, SANTIAGO VARGAS DOMÍNGUEZ.",https://doi.org/10.3389/fspas.2024.1323993
2024,​,"EXECUTIVE COMMITTEE WOMEN IN ASTRONOMY EXECUTIVE COMMITTEE WOMEN IN ASTRONOMY EXECUTIVE COMMITTEE WOMEN IN ASTRONOMY EXECUTIVE COMMITTEE WOMEN IN ASTRONOMY Transactions IAU, Volume XXXA Reports on Astronomy 2021-2024 Maria Teresa Lago, ed Transactions IAU, Volume XXXA Reports on Astronomy 2021-2024 Maria Teresa Lago, ed","ARIANNA PICCIALLI, DAVID VALLS-GABAUD, JOSEFA MASEGOSA GALLEGO, JOLANTA NASTULA, LILI YANG, AYA BAMBA, BELINDA WILKES, CLAUDIA LAGOS, SANTIAGO VARGAS DOMINGUEZ, JOHN LEIBACHER.",https://www.iau.org/static/science/scientific_bodies/working_groups/122/wg-wia-triennial-report-2021-2024.pdf
2024,​,Fortalecimiento de la educación y la investigación en un contexto global: la experiencia del Programa Beyond Research Fortalecimiento de la educación y la investigación en un contexto global: la experiencia del Programa Beyond Research Fortalecimiento de la educación y la investigación en un contexto global: la experiencia del Programa Beyond Research Fortalecimiento de la educación y la investigación en un contexto global: la experiencia del Programa Beyond Research Experiencias de la Internacionalización en las Instituciones de Educación Superior (IES) en Latinoamérica. Vol. 2 (pp. 141-155) Editorial CECAR. Experiencias de la Internacionalización en las Instituciones de Educación Superior (IES) en Latinoamérica. Vol. 2 (pp. 141-155) Editorial CECAR.,"MARCELA ARAGÓN NOVOA, YURY ARIAS OLAYA, SANTIAGO VARGAS DOMÍNGUEZ.",https://doi.org/10.21892/9786287515420.7
2024,"Asociación Red de Astronomía de Colombia - RAC, Circular Astronómica 995 Enero 2024, pp 2-3, ISSN: 2805 - 9077.",,"ANTONIO BERNAL GONZÁLEZ, JOSÉ ROBERTO VÉLEZ MÚNERA, ÁNGELA PATRICIA PÉREZ HENAO, LUZ ÁNGELA CUBIDES GONZÁLEZ, SANTIAGO VARGAS DOMÍNGUEZ, ANDRÉS GUSTAVO OBANDO LEÓN, CARLOS FRANCISCO PABÓN PINTO.",https://rac.net.co/wp-content/uploads/2023/12/Circular-enero-2024.pdf
2023,"Revista Universidad Nacional de Colombia / quinta época, 2023/12.",,SANTIAGO VARGAS DOMÍNGUEZ.,https://arxiv.org/abs/2311.15364
2023,"UNACIONAL DE COLOMBIA- 9789585053373, 2023/12, 112 págs.",,"ANDRES MOLINA MORENO, SANTIAGO VARGAS DOMÍNGUEZ, CRISTINA QUIAZÚA MERCHÁN, ANDREA PORTELA CÁRDENAS.",https://arxiv.org/abs/2311.15364
2023,SF2A-2023: Proceedings of the Annual meeting of the French Society of Astronomy and Astrophysics. 2023/12.,,"M. PANDEY-POMMIER, A. PICCIALLI, B. J. WILKES, P. HASAN, S. VARGAS DOMINGUEZ, A. S. HASSANIN, D. LAZZARO, C. D. P. LAGOS, J. MASEGOSA, L. YANG, D. VALLS-GABAUD, J. LEIBACHER, D. J. NORMAN, J. NASTULA, A. BAMBA.",https://arxiv.org/pdf/2311.15364
2023,"54th Meeting of the Solar Physics Division, id. 109.05. Bulletin of the American Astronomical Society, Vol. 55, No. 7 e-id 2023n7i109p05.",,"JUAN BUITRAGO-CASAS, WILLINTON JHOMAR CAICEDO TEZ, SANTIAGO VARGAS DOMINGUEZ, JUAN CARLOS MARTINEZ OLIVEROS, SAVANNAH PEREZ-PIEL, CHARLES LINDSEY.",https://ui.adsabs.harvard.edu/abs/2023SPD....5410905B/abstract
2023,"arXiv e-prints, 2023/9.",,"JOHAN NICOLÁS MOLINA CÓRDOBA, S VARGAS DOMÍNGUEZ, JI ZULUAGA.",https://ui.adsabs.harvard.edu/abs/2023arXiv230902809N/abstract
